system   I             system.c:245  al_install_system                [   0.00044] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:184  _al_register_destructor          [   0.00067] added dtor for object 0048FA58, func 0FB5172B
system   D            wsystem.c:674  maybe_parent_dir                 [   0.00080] Also searching C:\Users\Gaspar\Desktop\TP-Final-Slime-Apocalypse\Slime Apocalypse\Novak\bin\Win32\
system   D            wsystem.c:724  _al_win_safe_load_library        [   0.00102] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:635  load_library_at_path             [   0.00107] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:638  load_library_at_path             [   0.00536] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:672  d3d_init_display                 [   0.01332] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01416] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1771 d3d_create_display_locked        [   0.01420] al_display=004B88D8
d3d      D         d3d_disp.cpp:1772 d3d_create_display_locked        [   0.01422] al_display->vt=004B87F8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01501] found 160 format combinations
display  D   display_settings.c:202  debug_display_settings           [   0.01505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01508] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01512] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.01516] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.01519] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01524] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.01530] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01533] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.01536] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.01540] Score is : 717
